ans =

    1.0000         0         0         0
    2.0000    0.0200         0         0
    3.0000    0.0400         0         0
    4.0000    0.0600         0         0
    5.0000    0.0800         0         0
    6.0000    0.1000         0         0
    7.0000         0    0.0200         0
    8.0000    0.0200    0.0200    0.9571
    9.0000    0.0400    0.0200    1.8616
   10.0000    0.0600    0.0200    2.6060
   11.0000    0.0800    0.0200    3.0360
   12.0000    0.1000    0.0200    3.1714
   13.0000         0    0.0400         0
   14.0000    0.0200    0.0400    1.9667
   15.0000    0.0400    0.0400    3.8834
   16.0000    0.0600    0.0400    5.5263
   17.0000    0.0800    0.0400    6.3668
   18.0000    0.1000    0.0400    6.6135
   19.0000         0    0.0600         0
   20.0000    0.0200    0.0600    3.0262
   21.0000    0.0400    0.0600    6.1791
   22.0000    0.0600    0.0600    9.2492
   23.0000    0.0800    0.0600   10.2912
   24.0000    0.1000    0.0600   10.5490
   25.0000         0    0.0800         0
   26.0000    0.0200    0.0800    3.9590
   27.0000    0.0400    0.0800    8.5575
   28.0000    0.0600    0.0800   15.0000
   29.0000    0.0800    0.0800   15.0000
   30.0000    0.1000    0.0800   15.0000
   31.0000         0    0.1000         0
   32.0000    0.0200    0.1000    4.2525
   33.0000    0.0400    0.1000    9.0919
   34.0000    0.0600    0.1000   15.0000
